                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2128,                 3.8331,                 1.3733,                0.01686,                0.58683,                0.08146,                0.05499,                 0.9121,                 3.7738,                  1.112,              4.165e-05,              4.165e-05,              4.165e-05
                      2,                 1.0525,                 3.6827,                 1.2171,                0.02147,                0.60811,                0.16242,                0.12087,                0.95018,                 3.6761,                 1.0888,             8.7094e-05,             8.7094e-05,             8.7094e-05
                      3,                  1.117,                 3.3179,                  1.253,                0.02674,                0.65328,                 0.1874,                0.14369,                 0.9676,                 3.5855,                 1.1282,             0.00012759,             0.00012759,             0.00012759
                      4,                 1.0892,                 2.8899,                 1.2346,                  0.031,                0.71116,                 0.1976,                0.15387,                0.95356,                 3.4356,                 1.1284,             0.00016314,             0.00016314,             0.00016314
                      5,                 1.0581,                 2.5652,                 1.2263,                0.03466,                 0.8825,                 0.3546,                 0.2808,                0.97561,                  3.145,                 1.1637,             0.00019374,             0.00019374,             0.00019374
                      6,                 1.1105,                 2.2854,                 1.2514,                0.98486,                0.09389,                0.47619,                0.36946,                0.95669,                 2.8299,                 1.1631,             0.00021939,             0.00021939,             0.00021939
                      7,                 1.1035,                  2.045,                 1.2621,                0.68135,                0.36963,                0.54588,                0.42202,                0.94688,                 2.6769,                 1.1385,              0.0002401,              0.0002401,              0.0002401
                      8,                 1.0494,                 1.7791,                 1.2253,                0.71565,                0.31604,                0.59993,                0.47468,                0.96277,                 2.7337,                 1.1318,             0.00025585,             0.00025585,             0.00025585
                      9,                  1.067,                 1.6005,                 1.2129,                0.78922,                0.19711,                0.63406,                 0.4666,                 1.0127,                   2.73,                 1.1755,             0.00026666,             0.00026666,             0.00026666
                     10,                 1.0122,                 1.4032,                 1.2062,                0.74166,                0.40351,                0.67529,                0.50748,                  1.062,                 2.5446,                 1.2228,             0.00027252,             0.00027252,             0.00027252
                     11,                 0.9658,                  1.351,                 1.2056,                0.65844,                0.53446,                0.68002,                0.49906,                 1.1676,                  2.465,                 1.2776,             0.00027343,             0.00027343,             0.00027343
                     12,                0.94762,                 1.1671,                 1.1795,                0.59925,                0.48778,                0.62508,                0.45621,                 1.2424,                  2.458,                 1.3363,              0.0002694,              0.0002694,              0.0002694
                     13,                0.92191,                 1.1982,                 1.2231,                0.59418,                0.49662,                0.60532,                0.41767,                 1.2303,                 2.4003,                 1.3538,             0.00026041,             0.00026041,             0.00026041
                     14,                0.91419,                 1.1562,                 1.1414,                0.66978,                0.64094,                0.78521,                0.58436,                 1.0188,                   1.89,                 1.2174,             0.00024648,             0.00024648,             0.00024648
                     15,                0.87516,                 1.0696,                 1.1482,                0.72158,                0.70867,                 0.8456,                0.65637,                0.94235,                  1.597,                 1.1569,              0.0002276,              0.0002276,              0.0002276
                     16,                0.88253,                 1.0016,                 1.1625,                0.80683,                 0.8476,                0.93501,                0.72232,                0.89862,                 1.3127,                 1.1246,             0.00020377,             0.00020377,             0.00020377
                     17,                0.87846,                 0.9542,                 1.1354,                0.80342,                0.89152,                0.93337,                0.72116,                0.90334,                 1.2608,                 1.1205,             0.00017326,             0.00017326,             0.00017326
                     18,                0.83192,                0.95478,                 1.0951,                 0.8145,                0.88675,                0.93515,                0.71897,                0.91543,                 1.1655,                 1.1204,             0.00017326,             0.00017326,             0.00017326
                     19,                0.83046,                  0.917,                 1.1225,                0.82386,                0.87458,                0.93522,                0.72168,                0.91557,                 1.1126,                 1.1214,             0.00013203,             0.00013203,             0.00013203
                     20,                0.81712,                0.88291,                 1.0754,                0.95031,                0.83596,                0.94773,                 0.7333,                0.90091,                 1.0181,                 1.1144,             9.0797e-05,             9.0797e-05,             9.0797e-05
